company_name,industry,match_method,wiki_title,qid
Florida Blue,,wikipedia,Florida Blue Key,Q5461229
YouTrip,,wikipedia,You Trip Me Up,Q8057558
Arzooo,,,,
AMP Services WA,,wikipedia,140 St Georges Terrace,Q4549610
The Run Club,,wikipedia,500 home run club,Q1851515
Champion Window,,wikipedia,Thomas More Stadium,Q7864169
SearchLab,,wikipedia,List of Linda Cardellini performances,Q86753793
CBI Cyber Security Solutions,,wikipedia,Cyberwarfare,Q849340
Haleon,,wikipedia,Haleon,Q112860932
Fruition,,wikipedia,Fruition,Q124547308
Cohen and Company,,wikipedia,Ryan Cohen,Q55114633
Lexington Law,,wikipedia,"Lexington, Kentucky",Q49241
Metro Systems VA,,wikipedia,List of metro systems,Q206974
BAT,,wikipedia,Bat,Q28425
Oracle,,wikipedia,Oracle,Q217123
The Menta Group,,wikipedia,Dean Menta,Q5246357
Hallmark Aviation Services,,wikipedia,Osita Chidoka,Q54913558
UPS,,wikipedia,UPS,Q226146
Bowlero Corporation,,wikipedia,Lucky Strike Entertainment Corporation,Q17102967
Costain,,wikipedia,Costain,Q136385798
Elderwood,,wikipedia,Operation Aurora,Q1063139
Koalafi,,,,
Peninsula Community Health WA,,wikipedia,Key Peninsula,Q6398075
Verified First,,wikipedia,Verified,Q96358549
AntWorks,,wikipedia,A Bug's Life,Q216153
Brandywine Senior Living,,wikipedia,"Mount Laurel, New Jersey",Q1072657
Kipsu,,wikipedia,Autograph Collection,Q19872869
Rectangle Health,,wikipedia,Public Health Foundation of India,Q7257403
Lytics,,wikipedia,Lytic cycle,Q1369386
Digital Media Services,,wikipedia,Hoopla (digital media service),Q16253003
Exactech FL,,wikipedia,"Gainesville, Florida",Q487999
Yakima Valley Farm Workers Clinic,,wikipedia,Toppenish School District,Q17107766
VNL,,wikipedia,VNL,Q7907345
Crest Data Systems,,wikipedia,Crest factor,Q448559
Early Start Australia,,wikipedia,Australian Early Development Census,Q117599080
Fishbowl Solutions,,wikipedia,AMC Pacer,Q294714
3EA,,wikipedia,SBS Radio,Q3671633
Cosmic Strands,,wikipedia,Cosmology,Q338
FaceGym,,wikipedia,Inge Theron,Q107345836
Babylon,,wikipedia,Babylon,Q5684
RICS,,wikipedia,Royal Institution of Chartered Surveyors,Q743381
Blank Rome,,wikipedia,Blank Rome,Q4925135
VMLY and R,,wikipedia,VMLY&R,Q100927743
EBG,,wikipedia,EBG,Q656460
Cludo,,wikipedia,Viseo,Q137739109
IESA,,wikipedia,IESA,Q15948472
4Cats,,wikipedia,Ask Me What You Want,Q128826994
Versalus Health,,,,
Dia and Co,,wikipedia,Day of the Dead,Q309256
Pursuit Collection,,wikipedia,Prince of Wales Hotel,Q3145638
GlobalData,,wikipedia,GlobalData,Q7248737
Palladium,,wikipedia,Palladium,Q1089
Obviously AI,,wikipedia,AI slop,Q126720803
Club Tattoo,,wikipedia,Chester Bennington,Q19198
Bluebeam,,wikipedia,"Bluebeam Software, Inc.",Q4930191
Two s Company,,wikipedia,Two's Company,Q7858648
Malvi Systems,,wikipedia,Malvi,Q15721164
PSA Airlines,,wikipedia,PSA Airlines,Q1536988
Leo TechnoSoft,,wikipedia,Thunder Force (video game),Q15052201
Whittier Street Health Center,,wikipedia,Whittier Street Health Center,Q18379537
Splunk,,wikipedia,Splunk,Q1835753
Alzheimer s Foundation of America,,wikipedia,Alzheimer's Foundation of America,Q16868916
YPrime,,,,
Jackson Health System,,wikipedia,Jackson Health System,Q6117126
Grass Valley,,wikipedia,"Grass Valley, California",Q834337
Custom Ecology,,wikipedia,Raimmandhoo,Q675103
Tax Law Office of David W Klasing,,wikipedia,John C. B. Ehringhaus,Q881947
SCB Group,,wikipedia,Vạn Thịnh Phát fraud case,Q125461342
MangoApps,,wikipedia,Sooshi Mango,Q100978587
Janicki Industries,,wikipedia,Northrop Grumman B-21 Raider,Q22960692
iMobile,,wikipedia,Salim Kara,Q50875051
HHM,,wikipedia,HHM,Q1477431
TechSci Research,,wikipedia,Mobility as a service,Q16911496
Information Security Media Group,,wikipedia,Information security,Q189900
Outreach,,wikipedia,Outreach,Q11640
Westchester Medical Center,,wikipedia,Westchester Medical Center,Q7987259
Aldermore Bank,,wikipedia,Aldermore,Q16824660
Fort Bend ISD,,wikipedia,Fort Bend Independent School District,Q5470808
Ingham Retirement Group,,wikipedia,Elaine Ingham,Q5353226
FIDM,,wikipedia,Fashion Institute of Design and Merchandising,Q5436735
Williams Lea,,wikipedia,Williams Lea,Q8021061
Hawkins Cookers Limited,,wikipedia,Hawkins Cookers,Q5685126
Bonaventure Senior Living,,wikipedia,Patrick Frank,Q106947209
WIT Software,,wikipedia,Vocaloid,Q550596
Amour Vert,,wikipedia,Adèle Castillon,Q62567094
beBit,,wikipedia,Bit,Q8805
The World Bank,,wikipedia,President of the World Bank Group,Q4166474
Turbocam International,,wikipedia,Secretary of Defense Employer Support Freedom Award,Q7444291
Ziehler Lawn Care,,,,
Taylor Corporation,,wikipedia,Taylor Corporation,Q17108752
C2 Education,,wikipedia,C2 Proficiency,Q2572632
Santander,,wikipedia,Santander,Q225393
Foundation Academies,,wikipedia,Academy (English school),Q4671329
Airswift,,wikipedia,AirSWIFT,Q23048079
Smile Direct Club,,wikipedia,SmileDirectClub,Q60751931
U.S. Bank,,wikipedia,U.S. Bank Stadium,Q7929512
Tesla,,wikipedia,Nikola Tesla,Q9036
BFG,,wikipedia,The BFG,Q1476462
Oman Air,,wikipedia,Oman Air,Q860379
Pabst,,wikipedia,Pabst,Q21448944
Preferred Primary Care Physicians,,wikipedia,Health care,Q31207
BioTrans,,wikipedia,Peter Millar (RAF officer),Q20713596
TandemLaunch,,wikipedia,Helge Seetzen,Q16217605
Carey Glass,,wikipedia,Carey Hart,Q1035941
Byton,,wikipedia,Byton,Q29431565
smartData Enterprises,,wikipedia,Smart Data Compression,Q1522743
Artemis Health,,wikipedia,Artemis II,Q16947045
Digital Surgeons,,wikipedia,Digital twin,Q25099680
Instrument Pro,,wikipedia,Sweetwater Sound,Q7655817
BlueHalo,,wikipedia,Neil McCasland,Q102191653
Dominium,,wikipedia,Dominium,Q4037505
San Joaquin Valley College,,wikipedia,San Joaquin Valley College,Q7414404
PAN Communications,,wikipedia,Pan-pan,Q1474229
Pathward,,wikipedia,Pathward,Q6822267
Praytell Strategy,,,,
Newsy,,wikipedia,Scripps News,Q16957649
AVID Advancement Via Individual Determination,,wikipedia,Advancement Via Individual Determination,Q4686371
Geometric Results,,wikipedia,Geometry,Q8087
ThomasArts,,wikipedia,Vivien Thomas,Q739020
HORNE LLP,,wikipedia,Texas Emerging Technology Fund,Q7707660
BRPH Companies,,,,
Ink,,wikipedia,Ink,Q127418
QuisLex,,wikipedia,Lex Sempronia,Q3237334
1Path,,,,
Caterpillar,,wikipedia,Caterpillar,Q81825
Munck Wilson Mandala,,wikipedia,Josie Loren,Q438540
TOC Logistics International,,wikipedia,Theory of constraints,Q956095
KGP,,wikipedia,KGP,Q3812016
RedEye Apps,,wikipedia,Google Play,Q79576
Helm360,,,,
PuroClean,,wikipedia,Mark Mazzoleni,Q16738997
Newland Chase,,wikipedia,Newlands Chase,Q24196252
HFI,,wikipedia,HFI,Q5629519
Camin Cargo Control,,wikipedia,Gustavo Díaz Ordaz,Q315637
Recurrent Ventures,,wikipedia,Popular Science,Q773087
EventMobi,,wikipedia,EventMobi,Q137640073
Gertex,,wikipedia,Box-sealing tape,Q4951474
Department for Work And Pensions,,wikipedia,Department for Work and Pensions,Q1191394
Dovenmuehle Mortgage,,,,
Foster Partners,,wikipedia,Foster and Partners,Q1208016
Granite School District,,wikipedia,Granite School District,Q5595920
Agrace HospiceCare,,wikipedia,Paul Boyer (historian),Q7149477
Nolan Transportation Group,,wikipedia,Nolan Ryan,Q721948
Washington County Minnesota,,wikipedia,"Washington County, Minnesota",Q485408
Incture Technologies,,,,
REX,,wikipedia,Rex,Q4392946
Adams County Colorado,,wikipedia,"Adams County, Colorado",Q112807
Deck Commerce,,wikipedia,International Commerce Centre,Q317034
upGrad,,wikipedia,Ronnie Screwvala,Q3441794
JM Wilson,,wikipedia,Jonathan M. Wilson,Q123346418
WorkBoard,,wikipedia,Board of Peace,Q136402081
eBacon,,wikipedia,Bacon,Q11106
Selecta,,wikipedia,Selecta,Q3478066
Master Distributors,,wikipedia,Master Electronics,Q128191995
Fahlgren Mortine,,wikipedia,Fahlgren Mortine,Q5429561
Helcim,,wikipedia,Semi-integrated POS,Q25103650
Clarion Events,,wikipedia,Global Sources,Q5099900
Swvl,,wikipedia,Swvl,Q73312516
Scoop News Group,,wikipedia,Scoop (news),Q1510260
Birlasoft,,wikipedia,Birlasoft,Q4916512
Citrin Cooperman,,wikipedia,Dark Before Dawn,Q19686428
New Look,,wikipedia,New Look,Q1484468
DAWSON,,wikipedia,Dawson,Q226925
Northwest Administrators,,wikipedia,Celina High School (Ohio),Q5058065
Hammer,,wikipedia,Hammer,Q25294
Verzeo,,,,
JFQ Lending,,wikipedia,Battle of Stalingrad,Q38789
Emily Hirsh,,wikipedia,Wild Hearts (film),Q3010857
Market America,,wikipedia,Market America,Q6770658
Federal Reserve Bank of Kansas City,,wikipedia,Federal Reserve Bank of Kansas City,Q2166296
Banfield Pet Hospital,,wikipedia,Banfield Pet Hospital,Q2882416
Campspot,,,,
Ingram Content Group,,wikipedia,Ingram Content Group,Q16996950
Stalwart Concepts,,wikipedia,Chester A. Arthur,Q35498
Imminent,,wikipedia,Imminence,Q6005193
Frontier,,wikipedia,Frontier,Q1355821
TimeZoneOne,,wikipedia,Pacific Time Zone,Q847142
3D Exhibits,,wikipedia,Piranha 3D,Q733995
Tangoe,,wikipedia,Tangoe,Q65121021
US Pavement Service,,wikipedia,Asphalt concrete,Q189259
Aptive Environmental,,wikipedia,Environmental policy,Q919526
Transfinder,,wikipedia,"Proctor's Theatre (Schenectady, New York)",Q7247509
Martyn Bassett Associates,,wikipedia,Tonight's the Night (2003 musical),Q7821404
Cielo,,wikipedia,Cielo,Q3676581
OLIVER Agency,,wikipedia,Oliver North,Q431223
LivSmart Authorized ADT Dealer,,,,
Fashion Retail Academy,,wikipedia,Fashion Retail Academy,Q24022950
Novacoast,,,,
NCS,,wikipedia,NCS,Q341643
Musiker Discovery Programs,,wikipedia,Summer Discovery,Q7637306
Hardesty and Hanover,,wikipedia,Hardesty & Hanover,Q107242389
WPG,,wikipedia,WPG (disambiguation),Q1682104
Consulate Health Care,,wikipedia,Healthcare in Israel,Q2079786
Fuel Medical,,wikipedia,Thermobaric weapon,Q381741
Intertek,,wikipedia,Intertek,Q1136085
Professional Sports Publications,,wikipedia,Sports journalism,Q650483
Loan Simple,,wikipedia,Interest,Q170924
PARC Retirement Living,,wikipedia,Retirement community,Q1269448
Openweb Solutions,,wikipedia,Avishai Abrahami,Q135156368
National Arts Council,,wikipedia,National Arts Council,Q16877808
CB4,,wikipedia,CB4,Q2043208
Tradeshift,,wikipedia,Tradeshift,Q1525855
Option Care Health,,wikipedia,Public health insurance option,Q17076813
Computer Upgrade King,,wikipedia,Deep Blue (chess computer),Q187899
ASB Viagens e Turismo,,wikipedia,List of airline codes,Q251957
Agent Provocateur,,wikipedia,Agent provocateur,Q392752
Tech USA,,wikipedia,FuelTech,Q135012834
New American Funding,,wikipedia,Funding,Q6055890
DRT Strategies,,wikipedia,Deviance regulation theory,Q24963129
The Real Deal Inc,,wikipedia,Nest Seekers International,Q17146966
Capsa Healthcare,,wikipedia,Tonga,Q678
Aviation Institute Of Maintenance,,wikipedia,Military Aviation Museum,Q6851970
BHIVE Workspace,,wikipedia,Startup Ecosystem in India,Q138585607
Irdeto,,wikipedia,Denuvo,Q19599402
MAQUET,,wikipedia,Auguste Maquet,Q766768
Lemonlight,,wikipedia,Sean Patrick Cannon,Q7441353
Chong Seng Consultants,,wikipedia,Lim Bo Seng,Q3240983
Casumo,,wikipedia,Reading F.C.,Q18729
RainFocus,,wikipedia,Kentucky meat shower,Q6392454
Wonder Works Studio,,wikipedia,Megan Letter,Q106935865
Charles River Community Health,,wikipedia,Charles River,Q794927
The Conference Board of Canada,,wikipedia,Signal49 Research,Q925280
The Siegfried Group,,wikipedia,Siegfried & Roy,Q60806
ANX Home Healthcare,,wikipedia,Atlanta annexations and wards,Q4816185
Proziod,,,,
Jackson Dawson,,wikipedia,Joshua Jackson,Q219653
HomeLight,,wikipedia,HomeLight,Q47130436
Oaks Integrated Care,,wikipedia,Palliative care,Q29483
Carroll Hospital Center,,wikipedia,Carroll Hospital,Q5046581
payever,,,,
Homepoint,,wikipedia,Music City Bowl,Q3328467
Viz ai,,wikipedia,Video Girl Ai,Q1505050
Cambium Learning Group,,wikipedia,Cambium Learning Group,Q5025090
Flytxt,,wikipedia,Thiruvananthapuram,Q167715
Wolin Design Group,,wikipedia,List of ArtCenter College of Design people,Q6562305
Ankrom Moisan Architects,,wikipedia,Mirabella Portland,Q6872300
Albany Medical Center,,wikipedia,Albany Medical Center,Q4709342
RTX,,wikipedia,GeForce RTX 50 series,Q128210968
Olin,,wikipedia,Olin,Q411414
Willson Jones Carter and Baxley,,wikipedia,2026 World Baseball Classic rosters,
FCCI Insurance Group,,wikipedia,B. Dan Berger,Q4833956
Jack Cooper Transport,,wikipedia,American Trucking Associations,Q4745283
Integrity Express Logistics,,wikipedia,Standard Carrier Alpha Code,Q17130730
City Kids School LA,,wikipedia,Karate Kid: Legends,Q124246470
Sundae,,wikipedia,Sundae,Q859553
UL Solutions,,wikipedia,UL (safety organization),Q1324421
Global Dimensions,,wikipedia,Dimensions of globalization,Q17010657
Beztak,,wikipedia,"Southgate, Michigan",Q119706
Meeting Tomorrow,,wikipedia,Supergirl (2026 film),Q116921951
Planned,,wikipedia,Planning,Q309100
Oodle Car Finance,,,,
Baltimore City Community College,,wikipedia,Baltimore City Community College,Q4852809
SAS,,wikipedia,SAS,Q217479
Mark Spain Real Estate,,wikipedia,Real estate investment trust,Q697852
Endurance,,wikipedia,Endurance,Q778298
UpLift CA,,wikipedia,List of gondola lifts,Q6621760
Abbott,,wikipedia,Abbott,Q2699646
Geeks,,wikipedia,Freaks and Geeks,Q500769
Optanix,,,,
Mission Health,,wikipedia,Mission Health,Q6878595
Layer Germany,,wikipedia,Germany,Q183
Manhattan Neighborhood Network,,wikipedia,Manhattan Neighborhood Network,Q6749293
Ramsey Solutions,,wikipedia,Ramsey Solutions,Q132553766
collect Artificial Intelligence,,wikipedia,Ethics of artificial intelligence,Q12727779
1 800 CONTACTS,,wikipedia,1-800 Contacts,Q4545758
ERIKS group,,wikipedia,Erik Prince,Q749887
Adrian A Gaspar and Company,,wikipedia,Pope Adrian VI,Q57087
GLL,,wikipedia,GLL,Q560059
Starting Point Behavioral Healthcare,,wikipedia,Wilderness therapy,Q8001183
Ruby Tuesday,,wikipedia,Ruby Tuesday (song),Q1953769
Eir,,wikipedia,Eir,Q427355
Universally Speaking,,wikipedia,Universally Speaking,Q2337556
Tecnova India,,wikipedia,F1 Race Stars,Q5424173
U S Engineering,,wikipedia,Engineering drawing abbreviations and symbols,Q17166044
Dental Whale,,wikipedia,Baleen whale,Q168366
NQC,,wikipedia,NQC,Q6955088
The One Technologies,,wikipedia,Criticism of technology,Q1260036
Boston Scientific,,wikipedia,Boston Scientific,Q894585
CallMD,,wikipedia,MD Helicopters MD 500,Q848899
Vision Solar,,wikipedia,Solar eclipse,Q3887
Nissha Medical Technologies,,wikipedia,Hidden champions,Q1617306
City of Greeley,,wikipedia,"Greeley, Colorado",Q94274
Phillip Securities,,wikipedia,Phillip Securities Indonesia,Q17054821
Lifetime Financial Growth,,wikipedia,2008 financial crisis,Q896666
Camaco,,wikipedia,"Lorain, Ohio",Q609698
YASH Technologies,,wikipedia,Toxic (2026 film),Q123740702
Birch Coffee,,wikipedia,Muesli,Q52406
Low Income Housing Institute,,wikipedia,Low Income Housing Institute,Q6692890
Wynshop,,,,
Washington State Bar Association,,wikipedia,Washington State Bar Association,Q7972228
StepChange Debt Charity,,wikipedia,StepChange,Q17038575
Ogletree Deakins Nash Smoak and Stewart P C,,wikipedia,Minimum wage in Germany,Q16854713
AgFirst Farm Credit Bank,,wikipedia,AgFirst,Q4690905
Stanford Health Care,,wikipedia,Stanford University Medical Center,Q7598810
Bricoflor,,,,
Mission Foods,,wikipedia,Mission Foods,Q6878592
Centric Brands,,wikipedia,Zac Posen,Q139161
World Resources Institute,,wikipedia,World Resources Institute,Q976978
Neo Derm,,wikipedia,One Island East,Q1417597
Maxim Healthcare Services,,wikipedia,Maxim Healthcare Services,Q6795585
Vitalant,,wikipedia,Vitalant,Q7887528
Piedmont Urgent Care by WellStreet,,wikipedia,UNC Health,Q7865230
Dimensions International College,,wikipedia,List of universities in Singapore,Q1469730
Sequoia Living,,wikipedia,Sequoia sempervirens,Q150129
ATR International,,wikipedia,ATR 42,Q218637
Zenyum,,,,
TEAM LEWIS,,wikipedia,Ray Lewis,Q44428
Prada USA,,wikipedia,The Devil Wears Prada 2,Q134611972
US Department of Energy,,wikipedia,United States Department of Energy,Q217810
SelectQuote,,wikipedia,SelectQuote,Q131824311
Nations Lending Services,,wikipedia,Tribal Lending Enterprise,Q55636185
VFS Global,,wikipedia,VFS Global,Q7906873
Deployed Resources,,wikipedia,Blue–green deployment,Q85747842
Ascend Wellness Holdings,,wikipedia,Ascend Wellness Holdings,Q136995415
Elastic Path,,wikipedia,Headless commerce,Q106254305
Curvature,,wikipedia,Curvature,Q214881
Manhattan Associates,,wikipedia,Manhattan,Q11299
IMD International Institute for Management Development,,wikipedia,IMD Business School,Q667972
Peaden,,wikipedia,Blackwater River (Florida),Q2905606
Elastic,,wikipedia,Elastic,Q5353541
Coulter Partners,,wikipedia,Dan Reynolds,Q5214275
M247,,wikipedia,M247 Sergeant York,Q1553273
Valencia College,,wikipedia,Valencia College,Q7910651
Nordia,,wikipedia,Nordia Inc.,Q16944277
Red Raider Outfitter,,wikipedia,Baylor University sexual assault scandal,Q24525744
Allios,,wikipedia,Tha 'Mai Allios,Q2405630
Arclin,,wikipedia,Arclin,Q2370074
WGM Engineering,,wikipedia,WETA (FM),Q7949066
Vitasave,,,,
AO,,wikipedia,AO,Q223855
Avantor,,wikipedia,Avantor,Q104842834
Chubb,,wikipedia,Nick Chubb,Q18421947
Acora IT Managed Services,,,,
National Federation of Independent Business,,wikipedia,National Federation of Independent Business,Q6972597
Epson Europe,,wikipedia,Epson R-D1,Q349980
Nurtur,,wikipedia,Kali Theatre,Q16938959
Appliance Factory and Mattress Kingdom,,wikipedia,Frontier Mall,Q5506014
Coles,,wikipedia,Coles,Q349577
Xebia,,wikipedia,Application-release automation,Q4781496
Precision Diagnostics,,wikipedia,Precision diagnostics,Q113159201
Hydro Cleansing,,wikipedia,Facial,Q2667974
PatientPoint,,wikipedia,Outcome Health,Q43080139
RapidDeploy,,wikipedia,Amphibious Rapid Deployment Brigade,Q16601239
The Plum Guide,,wikipedia,The Plum Guide,Q30325270
Noah Medical,,wikipedia,Noah Wyle,Q315208
Slice,,wikipedia,Slice,Q419057
Amey,,wikipedia,Amey,Q470440
Rogue Fitness,,wikipedia,Rogue Fitness,Q28401914
Cross Check Quality Inspection,,wikipedia,Care Quality Commission,Q5038860
Avery Weigh Tronix,,wikipedia,Avery Weigh-Tronix,Q4828411
Innovapptive,,,,
Miro,,wikipedia,Miro,Q351647
Everly Health,,wikipedia,The Everly Brothers,Q690138
VF,,wikipedia,VF,Q357129
Apple,,wikipedia,Apple,Q89
Pelmorex Corp,,wikipedia,Pelmorex,Q16748934
SG Digital,,wikipedia,Stargate SG-1,Q187462
CTS International,,wikipedia,Cadillac CTS,Q770733
Torres Multicultural Communications,,wikipedia,Multiculturalism in Australia,Q6934638
Digital Factory,,wikipedia,Digital factory,Q1224893
Automated Systems,,wikipedia,Automation,Q184199
SouthLight,,wikipedia,Hinchcliff House,Q59872509
Entrepreneurs Organization,,wikipedia,Entrepreneurs' Organization,Q841831
W B Mason,,wikipedia,W. B. Mason,Q7945165
Taylor and Francis Group,,wikipedia,Taylor & Francis,Q880582
Medical Solutions,,wikipedia,List of Sony products,Q112039726
Collibra,,wikipedia,CapitalG,Q18151794
Carewell Urgent Care,,,,
Devsu,,,,
Carbon,,wikipedia,Carbon,Q623
RiskOptics,,wikipedia,User Friendly,Q281291
Michael Bailey Associates,,wikipedia,J. Michael Bailey,Q6106509
Missouri State Auditor s Office,,wikipedia,State Auditor of Missouri,Q7603054
Summit Psychological Associates,,wikipedia,Psychology,Q9418
Red Meters,,wikipedia,The Meters,Q1887369
Caring com,,wikipedia,Caring.com,Q121461625
Philadelphia Cricket Club,,wikipedia,Philadelphia Cricket Club,Q3378847
Pursuit,,wikipedia,Pursuit,Q3925982
Neilson Financial Services,,wikipedia,Annabelle Neilson,Q22957824
DataPath,,wikipedia,Datapath,Q1633673
European Commission,,wikipedia,European Commission,Q8880
Delvinia,,wikipedia,Sara Diamond (academic administrator),Q7421609
360i,,wikipedia,360i,Q4635648
Moon Technolabs,,wikipedia,WebRTC,Q1089715
Auction com,,wikipedia,Auction,Q177923
Brookfield Asset Management,,wikipedia,Brookfield Asset Management,Q133824445
Blount Fine Foods,,wikipedia,Blount Fine Foods,Q16984589
Bizmates,,,,
BorderLink,,wikipedia,Detroit–Windsor Tunnel,Q1129573
JumpCrew,,wikipedia,Automated Housing Referral Network,Q18635275
Your Housing Group,,wikipedia,Whitefriars Housing Group,Q7995932
ReCept Pharmacy,,wikipedia,Over-the-counter drug,Q1154971
Samsung Electronics America,,wikipedia,"White v. Samsung Electronics America, Inc.",Q19069578
LoanSnap,,wikipedia,Adam Nash (executive),Q17627263
The Bonadio Group,,wikipedia,John Podesta,Q1290476
Axia Women s Health,,wikipedia,Ana S. Iltis,Q93240548
McGraw Hill,,wikipedia,McGraw Hill Education,Q17153156
Elevate Care,,wikipedia,Self-care,Q4519653
Remington College,,wikipedia,Remington College,Q7311825
Northland Physical Medicine,,wikipedia,American College of Sports Medicine,Q4743475
International Committee of the Red Cross,,wikipedia,International Committee of the Red Cross,Q5987345
Rothman Institute,,wikipedia,Dale Caldwell,Q127784729
The Megahair Family,,,,
GDS Group,,wikipedia,Grenadier Guards,Q772054
Guerrero Media,,wikipedia,Niana Guerrero,Q35269982
FORMS SURFACES,,wikipedia,Differential forms on a Riemann surface,Q28401481
Maryville,,wikipedia,Maryville,Q353291
Crossover Health,,wikipedia,Abbott Elementary and It's Always Sunny in Philadelphia crossover,Q131870613
SmartConnect Technologies,,wikipedia,Smart city,Q1231558
ReliaQuest,,wikipedia,ReliaQuest,Q123451710
Mode5,,wikipedia,TAI TF Kaan,Q1336692
Great Minds,,wikipedia,Great Minds with Dan Harmon,Q25349421
Brainscope,,wikipedia,"BrainScope Company, Inc.",Q30270991
WellRight,,wikipedia,Bloody Well Right,Q4928121
Briggs Industrial Solutions,,wikipedia,WhiteBoard Product Solutions,Q17108831
Lotus Interworks,,,,
Walkover Web Solutions,,wikipedia,2025 Singaporean general election,Q100719175
DeGolyer and MacNaughton,,wikipedia,DeGolyer and MacNaughton,Q5243906
Tilden Preparatory,,wikipedia,Headlands Preparatory School,Q130644826
Ellsworth,,wikipedia,Ellsworth,Q228550
Jushi,,wikipedia,Jushi Kingdom,Q129854572
Integrated Health Information Systems,,wikipedia,Synapxe,Q116056440
Neo Media World,,wikipedia,Neo: The World Ends with You,Q102356256
AgreeYa Solutions,,wikipedia,Hassan Nasrallah,Q181182
Legacy FA,,wikipedia,Subaru FA engine,Q11312637
Goodway Group,,wikipedia,Avril Palmer-Baunack,Q25091784
Community Brands,,wikipedia,Brand community,Q2989307
MAP Health Management,,wikipedia,Google Maps,Q12013
Children%E2%80%99s Home Society of Florida,,wikipedia,Crispus Attucks,Q288241
Intellipaat,,wikipedia,International Institute of Information Technology Bangalore,Q1666651
LEARFIELD,,wikipedia,Learfield,Q5972014
CatalystOne Solutions,,wikipedia,Wilkinson's catalyst,Q414182
Thales,,wikipedia,Thales of Miletus,Q36303
ConAm Group of Companies,,wikipedia,The Pros and Cons of Hitch Hiking,Q653957
ValueFirst Digital Media,,wikipedia,Digital media,Q1076968
USHEALTH Group,,normalized_wikipedia,Jeffrey Crowley,Q6175918
Brady,,wikipedia,Brady,Q253386
Signant Health,,wikipedia,CDR computerized assessment system,Q5010004
Yotpo,,wikipedia,Attentive (company),Q137217137
Axiom Real Time Metrics,,wikipedia,Metric space,Q180953
